ANBIMA - Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais

Titulo@Data Referencia@Codigo SELIC@Data Base/Emissao@Data Vencimento@Tx. Compra@Tx. Venda@Tx. Indicativas@PU@Desvio padrao@Interv. Ind. Inf. (D0)@Interv. Ind. Sup. (D0)@Interv. Ind. Inf. (D+1)@Interv. Ind. Sup. (D+1)@Criterio
NTN-B@20250211@760199@20000715@20270515@7,5554@7,5267@7,5434@4337,151071@0,00653160812894@7,2057@7,865@7,1993@7,8584@Calculado
NTN-B@20250211@760199@20000715@20280815@7,647@7,621@7,6343@4325,61846@0,00433973885389@7,3415@7,9648@7,2957@7,9194@Calculado
NTN-B@20250211@760199@20000715@20290515@7,5769@7,5482@7,5609@4237,294251@0,00173110716306@7,298@7,8522@7,2416@7,7961@Calculado
NTN-B@20250211@760199@20000715@20300815@7,672@7,64@7,6557@4228,993766@0,00507092552696@7,4139@7,9385@7,3694@7,8943@Calculado
NTN-B@20250211@760199@20000715@20320815@7,7621@7,7328@7,7495@4121,822832@0,00135576370729@7,568@8,0359@7,5083@7,9763@Calculado
NTN-B@20250211@760199@20000715@20330515@7,7123@7,6784@7,6949@4040,566145@0,0056610616522@7,5093@7,9577@7,4673@7,9158@Calculado
NTN-B@20250211@760199@20000715@20350515@7,681@7,651@7,6642@3980,507621@0,00454867850919@7,5058@7,9107@7,466@7,8711@Calculado
NTN-B@20250211@760199@20000715@20400815@7,484@7,4565@7,47@3972,739952@0@7,3566@7,6971@7,3167@7,6571@Calculado
NTN-B@20250211@760199@20000715@20450515@7,5439@7,5103@7,5266@3807,381955@0,00456435464442@7,4071@7,7322@7,3811@7,7061@Calculado
NTN-B@20250211@760199@20000715@20500815@7,528@7,4971@7,512@3815,567951@0,00557203903791@7,3999@7,7141@7,3731@7,6871@Calculado
NTN-B@20250211@760199@20000715@20550515@7,4946@7,4553@7,4733@3728,569178@0,00463510631162@7,3624@7,6729@7,3358@7,646@Calculado
NTN-B@20250211@760199@20000715@20600815@7,5164@7,4814@7,5@3751,101583@0@7,3851@7,6934@7,3634@7,6714@Calculado
NTN-F@20250211@950199@20160115@20270101@15,049@15,0285@15,0375@935,995861@0,00282529496867@14,7026@15,64@14,5766@15,5135@Calculado
NTN-F@20250211@950199@20180105@20290101@14,949@14,9264@14,9356@878,837727@0,00329583069802@14,6194@15,5513@14,5113@15,4433@Calculado
NTN-F@20250211@950199@20200110@20310101@15,014@15,0013@15,0076@831,612285@0,00086307015937@14,6584@15,6159@14,5635@15,521@Calculado
NTN-F@20250211@950199@20220107@20330101@14,8893@14,8601@14,8728@801,485817@0,00198626234169@14,506@15,4705@14,4278@15,3921@Calculado
NTN-F@20250211@950199@20240105@20350101@14,9185@14,9058@14,9116@774,59956@0,00168114543987@14,5448@15,5047@14,4684@15,428@Calculado
